Serial;Board_fail;Panel_fail;Panel_start;Panel_end;Panel_pos;BSTV1_status;MOST3_status;MOST4_status;MOST5_status;ZENZ3_status;TestID29;Measured29;TestID30;Measured30;TestID31;Measured31;TestID32;Measured32;TestID33;Measured33;TestID41;Measured41
0100000000001001;-1;2;2020-01-01 10:10:10;2020-01-01 13:11:45;1;0;0;0;0;0;3;25.02969;3;25.0;3;25.00312;3;24.99531;3;25.00312;-1;-1.0
0100000000001002;-1;2;2020-01-01 13:10:37;2020-01-01 13:11:45;2;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;-1;-1.0
0100000000001003;-1;2;2020-01-01 13:10:37;2020-01-01 13:11:45;3;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;164.5991
0100000000001004;-1;2;2020-01-01 13:10:37;2020-01-01 13:11:45;4;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0100000000001005;-1;2;2020-01-01 13:10:37;2020-01-01 13:11:45;5;0;0;0;0;0;3;25.0125;3;25.00469;0;0.0;3;24.975;3;25.00625;-1;-1.0
0100000000001007;-1;2;2020-01-01 13:10:37;2020-01-01 13:11:45;7;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0100000000001008;-1;2;2020-01-01 13:10:37;2020-01-01 13:11:45;8;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0
0100000000001009;-1;2;2020-01-01 13:10:37;2020-01-01 13:11:45;9;0;0;0;0;0;0;0.0;0;0.0;3;25.00625;3;24.99844;3;25.04688;-1;-1.0
0100000000001009;-1;2;2020-01-01 13:10:37;2020-01-01 13:11:45;-1;0;0;0;0;0;-1;-1.0;-1;-1.0;-1;-1.0;-1;-1.0;-1;-1.0;-1;-1.0
